Year_Month,Card_type,Travel_Mode,Trip
Mar-2017,Child/Youth,Ferry,63608.0
Mar-2017,Concession,Ferry,29447.0
Mar-2017,Employee,Ferry,4894.0
Mar-2017,Free Travel,Ferry,1857.0
Mar-2017,School Student,Ferry,2069.0
Mar-2017,Senior/Pensioner,Ferry,169605.0
Mar-2017,Sgl Trip Ferry Adult,Ferry,55429.0
Mar-2017,Sgl Trip Ferry Child/Youth,Ferry,6774.0
Mar-2017,Adult,Light Rail,639505.0
Mar-2017,Child/Youth,Light Rail,35233.0
Mar-2017,Concession,Light Rail,36897.0
Mar-2017,Free Travel,Light Rail,906.0
Mar-2017,School Student,Light Rail,7282.0
Mar-2017,Senior/Pensioner,Light Rail,151966.0
Mar-2017,Sgl Trip LR Adult,Light Rail,2833.0
Mar-2017,Sgl Trip LR Child/Youth,Light Rail,440.0
Mar-2017,Adult,Train,25670277.0
Mar-2017,Child/Youth,Train,1061092.0
Mar-2017,Concession,Train,2874972.0
Mar-2017,Employee,Train,331728.0
Mar-2017,Free Travel,Train,34502.0
Mar-2017,School Student,Train,1236042.0
Mar-2017,Senior/Pensioner,Train,2983728.0
Mar-2017,Sgl Trip Rail Adult,Train,320440.0
Mar-2017,Sgl Trip Rail Child/Youth,Train,53604.0
Apr-2017,Adult,Bus,12477134.0
Apr-2017,Adult Single Bus Trip 1,Bus,158538.0
Apr-2017,Adult Single Bus Trip 2,Bus,98729.0
Apr-2017,Adult Single Bus Trip 3,Bus,39330.0
Apr-2017,Child/Youth,Bus,1276586.0
Apr-2017,Child/Youth Single Bus Trip 1,Bus,54620.0
Apr-2017,Child/Youth Single Bus Trip 2,Bus,42726.0
Apr-2017,Child/Youth Single Bus Trip 3,Bus,12903.0
Apr-2017,Concession,Bus,1647277.0
Apr-2017,Employee,Bus,65750.0
Apr-2017,Free Travel,Bus,33012.0
Apr-2017,School Student,Bus,1062002.0
Apr-2017,Senior/Pensioner,Bus,3754438.0
Apr-2017,Adult,Ferry,953347.0
Apr-2017,Child/Youth,Ferry,149935.0
Apr-2017,Concession,Ferry,28963.0
Apr-2017,Employee,Ferry,5172.0
Apr-2017,Free Travel,Ferry,2199.0
Apr-2017,School Student,Ferry,839.0
Apr-2017,Senior/Pensioner,Ferry,193582.0
Apr-2017,Sgl Trip Ferry Adult,Ferry,59293.0
Apr-2017,Sgl Trip Ferry Child/Youth,Ferry,15138.0
Apr-2017,Adult,Light Rail,587812.0
Apr-2017,Child/Youth,Light Rail,48789.0
Apr-2017,Concession,Light Rail,30959.0
Apr-2017,Free Travel,Light Rail,905.0
Apr-2017,School Student,Light Rail,2198.0
Apr-2017,Senior/Pensioner,Light Rail,141087.0
Apr-2017,Sgl Trip LR Adult,Light Rail,2666.0
Apr-2017,Sgl Trip LR Child/Youth,Light Rail,821.0
Apr-2017,Adult,Train,21558784.0
Apr-2017,Child/Youth,Train,1333722.0
Apr-2017,Concession,Train,2080422.0
Apr-2017,Employee,Train,260847.0
Apr-2017,Free Travel,Train,29582.0
Apr-2017,School Student,Train,427515.0
Apr-2017,Senior/Pensioner,Train,2679990.0
Apr-2017,Sgl Trip Rail Adult,Train,298912.0
Apr-2017,Sgl Trip Rail Child/Youth,Train,75955.0
May-2017,Adult,Bus,14803185.0
May-2017,Adult Single Bus Trip 1,Bus,168079.0
May-2017,Adult Single Bus Trip 2,Bus,102429.0
May-2017,Adult Single Bus Trip 3,Bus,39400.0
